id,host_id,host_is_superhost,name,price,neighbourhood,host_name,beds,neighbourhood_group_cleansed,review_scores_rating
21925716,140101314,f,Rental unit in Porto · ★4.63 · 3 bedrooms · 4 beds · 1.5 baths,$68.00,"Porto, Portugal",Catarina,4,PORTO,4.63
21908531,159104218,t,Rental unit in Porto · ★4.71 · 1 bedroom · 1 bed · 1 bath,$74.00,"Porto, Portugal",Casa Do Ofício,1,PORTO,4.71
21907458,159104218,t,Rental unit in Porto · ★4.71 · 1 bedroom · 1 bed · 1 bath,$73.00,"Porto, Portugal",Casa Do Ofício,1,PORTO,4.71
21906815,74441841,t,Rental unit in Póvoa de Varzim · ★5.0 · 1 bedroom · 2 beds · 1 bath,$62.00,,Garrett,2,PÓVOA DE VARZIM,5.0
21887791,71810730,t,Rental unit in Madalena · ★4.87 · 2 bedrooms · 3 beds · 1 bath,$73.00,"Madalena, Porto, Portugal",Sónia,3,VILA NOVA DE GAIA,4.87
21884566,132601835,t,Rental unit in Porto · ★4.69 · 1 bedroom · 1 bed · 1 bath,$76.00,,Guestify,1,PORTO,4.69
21884501,132601835,t,Rental unit in Porto · ★4.73 · 1 bedroom · 1 bed · 1 bath,$72.00,,Guestify,1,PORTO,4.73
21884331,132601835,t,Rental unit in Porto · ★5.0 · 1 bedroom · 1 bed · 1 bath,$73.00,,Guestify,1,PORTO,5.0
21884102,132601835,t,Rental unit in Porto · ★4.78 · 1 bedroom · 1 bed · 1 bath,$73.00,,Guestify,1,PORTO,4.78
21883965,132601835,t,Rental unit in Porto · ★4.76 · 1 bedroom · 1 bed · 1 bath,$78.00,,Guestify,1,PORTO,4.76
21883829,159338053,f,Rental unit in Aveiro · ★4.92 · 4 bedrooms · 4 beds · 3 baths,$50.00,"Aveiro, Portugal",Diana,4,SANTA MARIA DA FEIRA,4.92
21877840,159593200,f,Rental unit in Porto · ★4.51 · 3 bedrooms · 4 beds · 2 baths,,"Porto, Portugal",Joaquim,4,PORTO,4.51
21876795,3953109,f,Rental unit in Porto · ★4.35 · 2 bedrooms · 2 beds · 2 baths,$106.00,"Porto, Portugal",Feels Like Home,2,PORTO,4.35
21876162,247404054,f,Serviced apartment in Porto · ★4.67 · 2 bedrooms · 3 beds · 2 baths,$240.00,"Porto, Portugal",We Do Living,3,PORTO,4.67
21874712,159104218,t,Rental unit in Porto · ★4.82 · 1 bedroom · 1 bed · 1 bath,$76.00,"Porto, Portugal",Casa Do Ofício,1,PORTO,4.82
21874576,159564968,t,Rental unit in Porto · ★4.87 · 1 bedroom · 1 bed · 1 bath,$67.00,"Porto, Portugal",Luisa Gonçalves,1,PORTO,4.87
21873772,159562602,t,Home in Porto · ★4.79 · 3 bedrooms · 4 beds · 2.5 baths,$226.00,,Qualitalento,4,PORTO,4.79
21864568,159104218,t,Rental unit in Porto · ★4.85 · 1 bedroom · 1 bed · 1 bath,$90.00,"Porto, Portugal",Casa Do Ofício,1,PORTO,4.85
21861799,158187683,f,Rental unit in Porto · ★5.0 · 1 bedroom · 2 beds · 1 bath,$67.00,"Porto, Portugal",Nuno,2,PORTO,5.0
21857346,158187683,f,Rental unit in Porto · ★4.88 · 2 bedrooms · 2 beds · 1 bath,$65.00,"Porto, Portugal",Nuno,2,PORTO,4.88
21854844,38145390,f,Townhouse in Porto · ★4.76 · 1 bedroom · 2 beds · 3.5 shared baths,$50.00,"Porto, Portugal",Paulo,2,PORTO,4.76
21854514,129307486,f,Home in Porto · ★4.38 · 2 bedrooms · 1 bed · 1 bath,$60.00,,Tiago,1,PORTO,4.38
21847844,159338053,f,Home in Aveiro · ★4.71 · 4 bedrooms · 4 beds · 1 bath,$40.00,"Aveiro, Portugal",Diana,4,SANTA MARIA DA FEIRA,4.71
21835200,159205434,f,Home in Madalena · 1 bedroom · 3 beds · 1.5 shared baths,,,Henrique,3,VILA NOVA DE GAIA,
21825371,159104218,t,Serviced apartment in Porto · ★4.62 · 1 bedroom · 1 bed · 1 bath,$79.00,"Porto, Portugal",Casa Do Ofício,1,PORTO,4.62
21817249,143943427,f,Rental unit in Porto · ★4.65 · 5 bedrooms · 8 beds · 2 baths,$250.00,"Porto, Portugal",Rui,8,PORTO,4.65
21807569,93594275,f,Rental unit in Porto · ★4.63 · 2 bedrooms · 4 beds · 1 bath,$145.00,,Five Seven Nine,4,PORTO,4.63
21795489,155218669,f,Rental unit in Vila Nova de Gaia · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,,"Vila Nova de Gaia, Porto, Portugal",Lara,2,VILA NOVA DE GAIA,4.9
21781225,158706848,f,Rental unit in Lavra · ★4.29 · 3 bedrooms · 4 beds · 3 baths,,"Lavra, Porto, Portugal",Tadeu,4,MATOSINHOS,4.29
21764883,47014420,f,Loft in Porto · ★4.72 · 2 bedrooms · 3 beds · 1 bath,$106.00,"Porto, Portugal",Mr LEGRIS Julien,3,PORTO,4.72
21764351,158567852,t,Loft in Porto · ★4.90 · Studio · 2 beds · 1 bath,$60.00,"Porto, Portugal",Luísa E Pedro,2,PORTO,4.9
21763051,156334940,t,Guesthouse in Vila do Conde · 1 bedroom · 1 bed · 1 private bath,$77.00,,Cheila,1,VILA DO CONDE,5.0
21762139,30907275,f,Rental unit in Porto · ★4.64 · 4 bedrooms · 4 beds · 4.5 baths,$220.00,"Porto, Portugal",Liiiving,4,PORTO,4.64
21760009,99208391,f,Townhouse in Vila Nova de Gaia · ★4.63 · 1 bedroom · 2 beds · 1 bath,$79.00,"Vila Nova de Gaia, Porto, Portugal",Ana,2,VILA NOVA DE GAIA,4.63
21757016,156334940,t,Guesthouse in Vila do Conde · ★5.0 · 1 bedroom · 1 bed · 1 private bath,$90.00,,Cheila,1,VILA DO CONDE,5.0
21752506,5510997,t,Townhouse in Porto · ★4.81 · 1 bedroom · 1 bed · 2 shared baths,$33.00,"Porto, Portugal",António & Fátima,1,PORTO,4.81
21748567,158428705,t,Rental unit in Porto · ★5.0 · 2 bedrooms · 2 beds · 1 bath,$95.00,"Porto, Portugal",Cristina,2,PORTO,5.0
21747891,158430247,f,Rental unit in Porto · ★4.50 · 2 bedrooms · 2 beds · 1 bath,$41.00,"Porto, Porto District, Portugal",Hugo,2,PORTO,4.5
21747812,158428705,t,Rental unit in Porto · ★4.97 · 1 bedroom · 1 bed · 1 bath,$55.00,"Porto, Portugal",Cristina,1,PORTO,4.97
21740455,5510997,t,Townhouse in Porto · ★4.89 · 1 bedroom · 2 beds · 2 shared baths,$40.00,"Porto, Portugal",António & Fátima,2,PORTO,4.89
21723956,158187683,f,Place to stay in Porto · ★4.83 · 4 bedrooms · 3 beds · 1 bath,$65.00,"Porto, Portugal",Nuno,3,PORTO,4.83
21715423,52016990,f,Loft in Porto · ★5.0 · 1 bedroom · 2 beds · 1 bath,$77.00,,Claudia,2,PORTO,5.0
21711468,157929828,t,Rental unit in Porto · ★4.89 · 2 bedrooms · 3 beds · 2.5 baths,$102.00,"Porto, Portugal",Casa,3,PORTO,4.89
21710766,157929828,t,Rental unit in Porto · ★4.82 · 1 bedroom · 1 bed · 1 bath,$56.00,"Porto, Portugal",Casa,1,PORTO,4.82
21707483,57575950,t,Rental unit in Porto · ★4.30 · 2 bedrooms · 3 beds · 1 bath,$52.00,"Porto, Portugal",Sacha,3,PORTO,4.3
21699983,17789572,t,Rental unit in Porto · ★4.60 · 1 bedroom · 4 beds · 1 bath,$98.00,,Oporto Trendy Apartments,4,PORTO,4.6
21695875,157929828,t,Rental unit in Porto · ★4.90 · 2 bedrooms · 3 beds · 1.5 baths,$88.00,"Porto, Portugal",Casa,3,PORTO,4.9
21694314,157929828,t,Rental unit in Porto · ★4.92 · 2 bedrooms · 2 beds · 1 bath,$59.00,"Porto, Portugal",Casa,2,PORTO,4.92
21687163,40199752,f,Rental unit in Arcozelo · ★4.80 · 1 bedroom · 1 bed · 1 private bath,$50.00,,Cristina,1,VILA NOVA DE GAIA,4.8
21680800,157780301,f,Rental unit in Porto · ★5.0 · 1 bedroom · 3 beds · 1 bath,$93.00,"Porto, Portugal",Letheshome Apartments,3,PORTO,5.0
21679766,35821827,t,Rental unit in Porto · ★4.73 · 3 bedrooms · 6 beds · 1 bath,$57.00,"Porto, Portugal",Cristina & Luís,6,PORTO,4.73
21678668,37860920,f,Rental unit in Porto · ★4.78 · 3 bedrooms · 3 beds · 2 baths,$50.00,,Telmo,3,PORTO,4.78
21676792,157780301,f,Rental unit in Porto · 2 bedrooms · 5 beds · 1 bath,$164.00,"Porto, Portugal",Letheshome Apartments,5,PORTO,5.0
21670822,157745489,t,Rental unit in Porto · ★4.81 · Studio · 2 beds · 1 bath,$63.00,"Porto, Portugal",Mouzinho,2,PORTO,4.81
21663401,157677037,f,Serviced apartment in Porto · ★5.0 · 3 bedrooms · 4 beds · 2 baths,$200.00,"Porto, Portugal",Maria,4,PORTO,5.0
21656316,157621548,f,Home in Senhora da Hora · ★5.0 · 2 bedrooms · 2 beds · 1 bath,,"Senhora da Hora, Porto, Portugal",Ricardo,2,MATOSINHOS,5.0
21654288,30907275,f,Rental unit in Porto · ★4.24 · 3 bedrooms · 4 beds · 2 baths,$154.00,"Porto, Portugal",Liiiving,4,PORTO,4.24
21634074,148977343,f,Rental unit in Porto · ★4.87 · 3 bedrooms · 4 beds · 1.5 baths,$134.00,"Porto, Portugal",Carla Filipa,4,PORTO,4.87
21624227,140101314,f,Rental unit in Porto · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,$26.00,"Porto, Portugal",Catarina,1,PORTO,4.77
